st,en,popularity
31205,31212,8624
31108,31232,8570
31203,31239,8564
31102,31104,8548
31109,31506,8534
31201,31506,8522
31201,31228,8496
31228,31603,8488
31221,31241,8485
31229,31267,8473
31603,31603,8468
31111,31116,8457
31611,31627,8455
31613,31616,8446
31101,31212,8443
31064,31064,8440
31109,31223,8430
31623,31623,8422
31201,31503,8414
31236,31312,8399
31232,31247,8389
31101,31119,8366
31264,31623,8352
31408,32010,8309
31604,31623,8299
31219,31219,8293
31201,31230,8278
31202,31203,8263
31109,31281,8262
31204,31213,8256
31231,31624,8252
31205,31237,8224
31110,31255,8205
31234,31255,8204
31202,31229,8198
31229,31257,8197
31201,31276,8192
31108,31623,8188
31024,31069,8187
31201,31600,8172
31613,31640,8166
31606,31608,8158
31408,32011,8149
31503,31603,8134
31109,31214,8120
31203,31266,8111
31009,31010,8101
31204,31205,8087
31201,31254,8055
31400,31401,8052
31269,31613,8040
31047,31087,8032
31200,31503,8029
31265,31624,8024
31607,31610,8014
31202,31266,8008
31117,31121,7999
31615,31627,7997
31103,31214,7992
31222,31228,7942
31246,31275,7922
31228,31623,7906
31801,31802,7905
31105,31200,7901
31247,31277,7899
31201,31246,7897
31219,31624,7896
31500,31603,7894
31230,31624,7889
31214,31245,7882
31214,31267,7879
31215,31314,7877
31241,31267,7861
31200,31204,7857
31610,31615,7857
31077,31289,7847
31200,31226,7845
31227,31228,7823
31101,31239,7814
31218,31258,7805
31200,31306,7795
31101,31213,7779
31002,31009,7774
31234,31246,7770
31217,31218,7763
31203,31213,7759
31232,31232,7732
31225,31236,7718
31115,31124,7710
31277,31289,7699
31041,31041,7694
31232,31238,7685
31203,31216,7669
31221,31237,7653
31203,31600,7634
31234,31275,7617
31203,31268,7606
31613,31615,7600
31623,31626,7574
31621,31624,7570
31222,31248,7569
31104,31201,7552
31204,31204,7546
31101,31124,7544
31014,31295,7529
31205,31229,7527
31201,31233,7523
31101,31107,7495
31103,31602,7486
31600,31616,7485
31235,31248,7483
31237,31237,7467
31613,31634,7466
31223,31228,7462
31300,31307,7447
31228,31263,7446
31102,31107,7439
31605,31606,7439
31109,31228,7436
31111,31202,7432
31114,31214,7419
31265,31603,7401
31003,31249,7387
31108,31209,7384
31203,31245,7370
31605,31628,7364
31110,31202,7342
31613,31613,7339
31607,31623,7336
31201,31201,7332
31314,32046,7330
31102,31200,7320
31219,31235,7317
31303,31310,7314
31106,31200,7312
31408,32001,7307
31217,31249,7296
31222,31249,7293
31614,31615,7292
31219,31243,7283
31212,31212,7265
31005,31091,7255
31109,31203,7254
31109,31600,7227
31237,31257,7215
31232,31243,7203
31610,31616,7191
31225,31258,7170
31110,31257,7165
31201,31281,7151
31110,31237,7144
31200,31222,7141
31110,31241,7139
31124,31401,7135
31224,31237,7131
31218,31231,7127
31238,31247,7104
31277,31277,7100
31110,31205,7091
31218,31609,7086
31110,31203,7083
31520,31520,7080
31224,31229,7070
31104,31305,7066
31218,31232,7065
31230,31230,7060
31047,31097,7046
31251,31600,7039
31107,31110,7025
31014,31237,7019
31229,31229,7012
31217,31244,7001
31506,31603,6994
31003,31011,6979
31281,31600,6975
31101,31234,6974
31509,31600,6948
31110,31116,6947
31101,31266,6936
31103,31110,6932
31200,31266,6921
31222,31271,6921
31230,31241,6920
31200,31223,6914
31236,31236,6900
31228,31251,6879
31104,31229,6873
31107,31201,6866
31201,31291,6859
31230,31251,6859
31203,31254,6841
31216,31228,6839
31266,31600,6839
31247,31269,6836
31125,31200,6822
31229,31278,6813
31219,31271,6807
31256,31623,6804
31600,31623,6790
31288,31321,6763
31024,31037,6761
31116,31268,6760
31223,31281,6750
31610,31626,6736
31263,31600,6727
31613,31631,6725
31281,31506,6724
31215,31275,6720
31208,31608,6718
31015,31018,6713
31200,31213,6712
31605,31616,6710
31613,31635,6707
31109,31503,6701
31508,31603,6692
31281,31519,6688
31010,31011,6682
31101,31118,6671
31200,31600,6669
31101,31245,6668
32008,32048,6660
31606,31626,6655
31214,31234,6646
31200,31224,6642
31220,31257,6634
31202,31223,6627
31229,31246,6624
31215,31247,6622
31223,31503,6620
31203,31238,6618
31110,31246,6602
31213,31220,6595
31623,31630,6568
31205,31234,6556
31612,31616,6542
31014,31014,6535
31215,31289,6525
31623,31635,6515
31101,31267,6511
31241,31268,6509
31607,31626,6489
31609,31628,6487
31613,31614,6486
31200,31275,6478
31108,31646,6478
31104,31114,6472
31200,31228,6469
31219,31222,6462
31215,31225,6461
31238,31238,6461
31102,31201,6455
31247,31256,6452
31102,31103,6450
31202,31239,6450
31208,31605,6445
31618,31625,6437
31222,31235,6426
31223,31251,6416
31272,31628,6410
31209,31613,6408
31214,31224,6408
31612,31615,6405
31269,31616,6404
31606,31610,6401
31205,31241,6395
31200,31302,6395
31109,31110,6392
31110,31111,6386
31601,31712,6380
31506,31600,6379
31214,31214,6376
31606,31625,6366
31606,31619,6352
31616,31624,6348
31105,31201,6347
31108,31620,6346
31024,31025,6342
31225,31234,6329
31037,31038,6325
31605,31618,6321
31037,31069,6318
31203,31212,6308
31203,31281,6305
31615,31624,6300
31236,31306,6297
31217,31247,6294
31129,31258,6292
31129,31129,6289
32025,32026,6279
31042,31098,6277
31014,31029,6262
31124,31296,6259
31229,31245,6256
31517,31603,6247
31212,31225,6244
31619,31625,6240
31203,31506,6237
31244,31621,6233
31201,31238,6228
31117,31124,6227
31610,31630,6217
31241,31247,6215
31201,31267,6205
31047,31085,6201
31215,31240,6183
31205,31214,6182
31600,31604,6182
31015,31225,6178
31616,31618,6166
31104,31117,6164
31202,31268,6147
31238,31258,6145
31213,31246,6145
31203,31230,6143
31105,31203,6142
31104,31124,6142
31227,31265,6140
31240,31289,6140
31116,31202,6133
31241,31624,6132
31214,31278,6123
31102,31400,6107
31101,31506,6101
31202,31506,6094
31229,31275,6090
31232,31258,6078
31232,31241,6073
31105,31202,6071
31258,31261,6069
31247,31261,6065
31223,31232,6058
31062,31062,6056
31218,31271,6055
31605,31625,6050
31203,31203,6050
31228,31281,6047
31238,31241,6046
31616,31631,6044
31232,31248,6044
31102,31229,6043
31222,31243,6037
31219,31228,6034
31222,31232,6032
31256,31624,6027
31247,31264,6018
31028,31030,6012
31201,31251,6005
31228,31503,5996
31619,31619,5996
31047,31086,5992
31600,31627,5990
31203,31241,5990
31246,31246,5989
31015,31077,5988
31201,31602,5987
31104,31116,5984
31215,31237,5972
31603,31614,5960
31221,31246,5958
31257,31258,5956
31218,31222,5943
31213,31237,5941
31104,31307,5938
31201,31237,5932
31217,31243,5928
31202,31600,5922
31241,31600,5919
31232,31266,5917
31200,31258,5916
31257,31285,5915
31228,31604,5913
31108,31624,5913
31201,31509,5911
31613,31647,5910
31231,31243,5907
31603,31637,5900
31228,31245,5898
31204,31237,5897
31202,31228,5895
31014,31215,5895
31518,31627,5887
31612,31625,5887
31606,31623,5879
31517,31627,5878
31240,31290,5878
31101,31221,5877
31239,31266,5867
31103,31113,5867
31110,31268,5861
31119,31202,5855
31100,31200,5855
31116,31241,5855
31215,31257,5852
31611,31622,5849
31200,31267,5847
31264,31624,5842
31610,31625,5841
31129,31289,5836
31023,31037,5825
31241,31245,5824
31628,31628,5824
31216,31600,5818
31200,31305,5815
31231,31249,5801
31223,31230,5800
31612,31622,5790
31605,31607,5787
31101,31401,5786
31203,31222,5783
31288,31623,5781
31231,31271,5771
31235,31240,5761
31216,31241,5761
31079,31089,5753
31264,31600,5749
31223,31603,5749
31500,31516,5737
31217,31219,5737
31217,31624,5729
31246,31258,5721
31212,31213,5716
31200,31506,5713
31108,31247,5713
31101,31117,5704
31208,31244,5694
31281,31503,5693
31201,31216,5692
31820,31820,5690
31505,31623,5688
31605,31612,5687
31201,31232,5686
31107,31400,5685
31249,31288,5676
31222,31600,5673
31225,31257,5669
31236,31246,5669
31614,31627,5668
31270,31623,5661
31609,31609,5652
31269,31619,5650
31228,31247,5643
31107,31124,5635
32027,32048,5628
31603,31638,5624
31023,31034,5622
31224,31241,5617
31230,31247,5616
31262,31266,5615
31201,31224,5612
31200,31220,5609
31219,31232,5596
31258,31623,5596
31214,31268,5595
31121,31200,5593
31265,31623,5591
31601,31613,5590
31101,31254,5589
31222,31289,5588
31116,31213,5587
31202,31278,5581
31102,31124,5574
31603,31627,5572
31101,31113,5562
31610,31611,5556
