short_name,tripcount,roundtrips
32053,11187,279
31901,6936,263
31317,17685,412
31122,89626,1037
31282,138186,1546
32054,3990,659
32055,28156,1777
31283,145407,2070
31519,117360,1376
31811,2998,311
31284,74517,3334
31285,159377,3427
32056,8308,779
31903,18614,2214
31123,74362,1000
31910,14618,996
31286,158255,1990
31287,73742,2904
31318,28729,842
31641,159928,2050
31908,5169,380
31904,19955,1155
31905,14129,1263
31906,9763,467
31913,10045,517
31288,383995,22996
31289,380128,16805
31290,260449,16520
31907,23881,2272
31909,14829,1759
31642,90208,1917
31912,7616,419
31914,10636,359
31915,14114,558
31916,40124,4105
31124,222428,2487
31291,124233,2640
31319,20117,375
31520,34364,7926
31713,1677,243
31812,6642,720
32200,2178,384
32201,1805,316
32202,70,6
32203,2564,411
32204,9590,150
32205,4929,298
32206,1461,171
32207,2580,275
32208,1243,163
32209,926,153
32210,2023,354
32211,698,180
32212,2316,502
32213,6710,1035
32214,11512,1316
31643,120206,2000
32215,15412,559
32216,3508,637
32217,3422,103
31292,73135,3836
31714,1720,372
32218,3607,522
32219,3072,526
32220,10806,1652
31917,52542,1357
31414,11033,424
32221,1507,120
31918,31969,2267
32058,7544,352
31125,191350,2074
31644,51859,836
31412,10851,705
31919,13212,871
32222,1147,128
31645,69008,832
32057,3909,690
32059,2005,341
32061,1770,251
32062,4911,300
32063,2769,827
32064,1659,406
32065,3109,251
32066,2232,488
32223,2788,511
32224,2548,271
31413,11600,517
31521,8478,295
31294,59980,1370
32067,7486,92
31295,127433,1971
31296,120659,1410
31920,12318,568
31921,4808,280
31923,5738,543
31925,7015,185
32068,4946,159
32069,1566,269
32225,1269,187
32070,885,232
31297,59256,1907
31298,130071,1963
31126,113773,1488
31299,126932,1469
31924,21214,549
31320,16308,457
31321,210489,16001
31128,172830,3303
32071,1749,430
32072,1329,319
31813,3455,261
31814,1455,246
31815,665,78
31816,3928,887
31817,4087,1031
31818,2303,367
31819,401,107
31715,690,82
31129,142663,7633
31646,133767,3447
31523,33356,467
32073,946,226
31415,8768,268
31647,58762,1078
31820,24355,6379
32074,4081,386
32075,7381,209
32076,2729,302
32077,2876,240
32078,6912,832
32079,4966,162
32080,2175,304
32081,4025,740
32082,2315,258
32083,3038,387
32227,708,111
32400,950,222
32401,1905,414
32402,5506,1025
32403,5501,918
32404,3025,268
31648,28186,768
32405,1203,298
31822,1399,56
31649,57228,1032
31322,9051,520
31416,7496,726
31650,68321,1437
32406,6951,2145
32407,795,190
31651,55863,940
31652,62294,1280
31417,22494,862
32228,410,108
32229,4116,291
31653,81393,1365
31654,20596,544
31524,23055,538
31655,76089,1946
31656,19171,427
31657,44513,957
31323,63524,1679
32230,1050,181
31525,7887,231
31658,16845,449
31659,36975,1074
31418,12545,446
31823,562,93
31324,94934,1211
32231,5059,987
32408,2845,523
32409,546,54
32410,2986,372
32411,1432,286
32412,1415,141
32413,3077,476
32414,1773,349
32415,5667,1456
32416,4373,253
32417,1324,164
32600,2304,226
32601,1426,61
32602,3207,374
32603,2627,332
32604,2107,168
32606,4281,397
32605,2803,164
32607,3150,465
32608,2255,163
32609,2869,261
32232,1486,97
32233,702,96
31419,33835,559
32234,2605,596
32235,3818,836
31526,5113,253
31130,41680,624
31527,32552,592
31420,7556,449
31421,11136,445
31131,36160,789
31528,7067,477
32418,5096,861
32419,817,185
32420,4294,316
32421,5507,1304
32422,3804,400
32084,925,170
31529,15239,579
31660,21719,668
31716,14396,2289
31717,2344,463
32423,14503,5154
31824,1741,358
31718,299,46
31825,500,31
31325,27633,756
31127,77479,1985
31661,26874,645
31326,8356,496
32085,674,95
32086,1014,281
32087,333,91
32088,1744,819
32090,608,165
32091,680,202
32089,608,116
32092,1322,457
32094,758,216
32093,596,153
31926,5985,386
31719,7064,782
31826,3043,232
32236,1093,238
31662,49132,1007
31927,1334,211
31928,2062,276
31929,11977,2568
31930,1685,374
31530,5143,127
31663,26351,609
31664,9700,362
31327,44392,618
31132,38598,666
31665,8385,297
31422,1766,147
31931,4362,297
31328,34352,979
31666,37147,1297
31423,2822,129
31935,4655,115
31936,3482,86
31937,6430,200
31938,3500,121
31939,9592,263
31940,4944,187
31667,9553,421
31668,21133,743
31133,22714,527
31669,13794,282
31671,313,30
31941,864,113
31942,339,88
31943,720,194
31720,7010,1819
31944,4047,254
31945,1873,142
31946,578,90
31947,15287,373
32424,679,265
32425,406,118
32426,1151,500
32237,452,76
32238,354,36
32239,198,61
32240,226,63
32241,360,60
32242,109,23
32243,111,9
32244,77,10
32245,227,65
32246,505,45
32247,212,26
32248,211,28
32249,190,43
32250,522,173
32251,314,53
32252,526,63
32253,278,45
31949,1041,56
31827,1151,12
31950,2611,155
31951,226,24
31531,14785,518
31952,87,9
32255,381,102
32256,216,62
32900,755,377
32901,979,10
32902,28,7
32906,8,
32047,5954,195
31932,183,11
31933,2744,359
31948,1273,116
31134,15070,265
31330,25807,409
31331,1153,65
31332,12242,198
31532,31730,601
31953,512,107
31954,301,65
31955,1135,62
31672,8202,175
31956,930,24
31957,124,10
31958,551,43
31959,3505,118
31960,2513,181
31961,117,24
31962,257,26
31963,808,245
31964,136,24
31966,407,113
31967,195,43
31968,2659,133
31969,3317,70
31135,8022,191
31970,1222,88
31971,904,31
31972,282,23
31973,217,7
