st,en,popularity
31002,31013,1897
31002,31014,2545
31002,31015,434
31002,31016,134
31002,31017,38
31002,31018,59
31002,31019,15
31002,31020,21
31002,31021,21
31002,31022,26
31002,31023,15
31002,31024,33
31002,31025,175
31002,31026,19
31002,31027,61
31002,31028,29
31002,31029,68
31002,31030,18
31002,31031,99
31002,31032,9
31002,31033,42
31002,31034,33
31002,31035,26
31002,31036,28
31002,31037,39
31002,31038,8
31002,31039,26
31002,31040,10
31002,31041,1210
31002,31042,730
31002,31043,516
31002,31044,194
31002,31045,420
31002,31046,685
31002,31047,592
31002,31048,256
31002,31049,17
31002,31050,19
31002,31051,40
31002,31052,4599
31002,31053,93
31002,31054,20
31002,31055,484
31002,31056,161
31002,31057,288
31002,31058,4
31002,31059,128
31002,31060,647
31002,31061,41
31002,31062,551
31002,31063,142
31002,31064,1757
31002,31065,12
31002,31066,151
31002,31067,49
31002,31068,21
31002,31069,32
31002,31070,39
31002,31071,2139
31002,31072,50
31002,31073,50
31002,31074,20
31002,31075,56
31002,31076,179
31002,31077,546
31002,31078,7
31002,31079,23
31002,31080,114
31002,31081,62
31002,31082,59
31002,31083,372
31002,31084,131
31002,31085,361
31002,31086,231
31002,31087,310
31002,31088,712
31002,31089,100
31002,31090,1067
31002,31091,769
31002,31092,6
31002,31093,26
31002,31094,7
31002,31095,110
31002,31096,13
31002,31097,234
31002,31098,295
31002,31099,87
31002,31100,44
31002,31101,151
31002,31102,43
31002,31103,183
31002,31104,18
31002,31105,69
31002,31106,40
31002,31107,57
31002,31108,383
31002,31109,16
31002,31110,49
31002,31111,14
31002,31112,82
31002,31113,107
31002,31114,21
31002,31115,7
31002,31116,58
31002,31117,24
31002,31118,6
31002,31119,24
31002,31120,2
31002,31121,14
31002,31122,2
31002,31123,5
31002,31124,13
31002,31125,127
31002,31127,16
31002,31128,73
31002,31129,97
31002,31132,3
31002,31200,133
31002,31201,133
31002,31202,39
31002,31203,55
31002,31204,43
31002,31205,110
31002,31206,75
31002,31207,4
31002,31208,90
31002,31209,86
31002,31211,254
31002,31212,84
31002,31213,105
31002,31214,201
31002,31215,386
31002,31216,148
31002,31217,742
31002,31218,275
31002,31219,322
31002,31220,211
31002,31221,45
31002,31222,538
31002,31223,24
31002,31224,25
31002,31225,518
31002,31226,57
31002,31227,498
31002,31228,83
31002,31229,167
31002,31230,289
31002,31231,525
31002,31232,328
31002,31233,138
31002,31234,53
31002,31235,355
31002,31236,253
31002,31237,113
31002,31238,173
31002,31239,40
31002,31240,823
31002,31241,94
31002,31242,76
31002,31243,323
31002,31244,177
31002,31245,8
31002,31246,176
31002,31247,1468
31002,31248,635
31002,31249,11378
31002,31250,33
31002,31251,141
31002,31252,55
31002,31253,135
31002,31254,96
